kernel,C,gamma,epsilon,degree,avg_smape,avg_weekly_rmse,avg_weekly_mae,avg_weekly_smape,avg_daily_rmse,avg_daily_mae,avg_daily_smape,avg_smape_day_1,avg_smape_day_2,avg_smape_day_3,avg_smape_day_4,avg_smape_day_5,avg_smape_day_6,avg_smape_day_7
poly,"10,0",0.001,1,2,57.20264707430404,"342,50515300206416","280,9750868221759","57,20264707430404","322,3651433426589","280,9750868221759","57,20264707430404","56,193169799569105","51,27791404028614","50,29006902537857","46,2883474045395","40,416230331122236","64,70479748597583","91,24800143325692"
poly,"0,1",0.01,1,2,57.202647074976426,"342,50515300825623","280,97508682864236","57,202647074976426","322,36514334850864","280,9750868286424","57,202647074976426","56,1931698001641","51,27791404099188","50,29006902591477","46,28834740516525","40,416230331757404","64,70479748682683","91,24800143401471"
poly,"0,1",0.01,5,3,57.22047013809041,"342,1021881686188","280,88240825325033","57,22047013809041","322,01016702025464","280,8824082532504","57,22047013809041","56,174658833606756","51,40269639389163","50,42422523768173","46,31965961530004","40,356327549891205","64,65647490758238","91,20924842867912"
poly,"100,0",0.001,5,3,57.22047013809089,"342,10218816862323","280,882408253255","57,22047013809089","322,01016702025885","280,882408253255","57,22047013809089","56,17465883360718","51,40269639389214","50,42422523768212","46,319659615300495","40,35632754989166","64,65647490758299","91,20924842867967"
poly,"100,0",0.001,1,3,57.22421783562674,"342,13867555191365","280,92035197965765","57,22421783562674","322,0442467847319","280,92035197965765","57,22421783562674","56,17779617917596","51,407090298894225","50,42739910654801","46,3237418072012","40,36010045347332","64,6606807652935","91,21271623880094"
poly,"0,1",0.01,1,3,57.22421783581368,"342,138675553629","280,9203519814531","57,22421783581368","322,04424678635394","280,9203519814531","57,22421783581368","56,17779617934365","51,40709029909016","50,42739910669723","46,32374180737793","40,360100453648684","64,66068076552824","91,21271623900988"
poly,"0,1",0.01,50,2,57.283987881059204,"343,2712479011379","281,75855442787974","57,283987881059204","323,08735285479685","281,7585544278798","57,28398788105921","56,269965920216734","51,36605470108931","50,36095280718045","46,3647169243841","40,49292948677178","64,80041593078035","91,33287939699176"
poly,"10,0",0.001,50,2,57.28398788106591,"343,27124790119973","281,7585544279444","57,28398788106591","323,08735285485534","281,7585544279444","57,28398788106591","56,26996592022272","51,3660547010964","50,36095280718576","46,36471692439038","40,492929486778074","64,80041593078879","91,33287939699927"
poly,"100,0",0.001,50,3,57.297807980335065,"342,81373703480733","281,624598802445","57,297807980335065","322,6843258261668","281,62459880244506","57,297807980335065","56,246045471683914","51,485552024993794","50,488347966312716","46,393202575915936","40,427521193126125","64,75111559386573","91,29287103644722"
poly,"0,1",0.01,50,3,57.297807980750704,"342,8137370386196","281,6245988064386","57,297807980750704","322,68432582977505","281,6245988064386","57,297807980750704","56,246045472054135","51,485552025436306","50,48834796664713","46,393202576306166","40,42752119351829","64,75111559438419","91,2928710369087"
poly,"1,0",0.001,25,2,58.707712495391625,"357,9710672186086","296,30413435649234","58,707712495391625","337,02192516446485","296,30413435649234","58,707712495391625","57,56349702391488","53,03454089655512","51,92815780912913","47,93777104308975","41,851915423147275","66,1764977560695","92,46160751583577"
poly,"10,0",0.001,25,3,58.7098123059248,"357,93256599211463","296,297469979938","58,7098123059248","336,9891886080818","296,297469979938","58,70981230592481","57,56055693594813","53,047498395998055","51,94281746774018","47,94167901030097","41,847377469261005","66,1714845102812","92,45727235194411"
poly,"1,0",0.001,1,2,58.76945562810651,"358,5512838713007","296,9124320311468","58,76945562810651","337,58047582782353","296,91243203114675","58,76945562810652","57,61783204858368","53,09838578629791","51,97864694418185","47,99482761369821","41,913001590153385","66,253436898734","92,53005851509661"
poly,"10,0",0.001,1,3,58.77323616098481,"358,5289440596713","296,92218864571714","58,77323616098481","337,5630935762643","296,92218864571714","58,77323616098481","57,61651922380449","53,11309978993499","51,99477964578337","48,00060442132211","41,91018360560733","66,25018614121956","92,52728029922184"
