132,455666
132,455666
123,069044
123,069044
117,70526
117,70526
119,418691
119,418691
126,719397
126,719397
167,096771
167,096771
238,092412
238,092412
236,378981
236,378981
216,0413
216,0413
217,456743
217,456743
225,129934
225,129934
208,368109
208,368109
200,173439
200,173439
192,574745
192,574745
208,144618
208,144618
207,176157
207,176157
260,7395
260,7395
314,228346
314,228346
290,612797
290,612797
238,688388
238,688388
200,843912
200,843912
207,325151
207,325151
178,643806
178,643806
183,337117
183,337117
171,3431
171,3431
165,532334
165,532334
149,73897
149,73897
157,784646
157,784646
157,784646
157,784646
193,766697
193,766697
253,140806
