"Name","Created","dropout","hidden_size","layers","learning_rate","sequence_length","batch_size","val_SMAPE","best_val_SMAPE","State","Notes","User","Tags","Runtime","Sweep","include_price_history_as_input","include_remaining_2024_in_prepared_train_data","max_epochs","num_combinations","patience","predict_period","price_zone","split_setup","stride","train_window","val_start","val_window","combination","epoch","patience_counter","best_epoch","epochs_trained"
"layers2_dropout0.2_batchsize64_seq_len24_hidden16_lr0.001_comb022","2026-05-04T10:09:10.000Z","0.2","16","2","0.001","24","64","70.68270026393392","70.62946094610498","finished","-","","cross-validation, early-stopping, hyperparameter-search, rnn","314","","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","22","60","1","59","60"
"layers2_dropout0.0_batchsize64_seq_len24_hidden16_lr0.001_comb021","2026-05-04T10:03:54.000Z","0","16","2","0.001","24","64","73.90169731190853","72.25855919528706","finished","-","","cross-validation, early-stopping, hyperparameter-search, rnn","315","","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","21","60","2","58","60"
"layers2_dropout0.2_batchsize32_seq_len168_hidden16_lr0.001_comb020","2026-05-04T09:57:54.000Z","0.2","16","2","0.001","168","32","71.38299659821708","69.47254477530215","finished","-","","cross-validation, early-stopping, hyperparameter-search, rnn","359","","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","20","54","10","44","54"
"layers2_dropout0.0_batchsize32_seq_len168_hidden16_lr0.001_comb019","2026-05-04T09:53:19.000Z","0","16","2","0.001","168","32","72.02654283590041","70.19218376686246","finished","-","","cross-validation, early-stopping, hyperparameter-search, rnn","274","","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","19","41","10","31","41"
"layers2_dropout0.2_batchsize32_seq_len24_hidden16_lr0.001_comb018","2026-05-04T09:47:36.000Z","0.2","16","2","0.001","24","32","63.891636216274286","63.67602866813397","finished","-","","cross-validation, early-stopping, hyperparameter-search, rnn","342","","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","18","60","3","57","60"
"layers2_dropout0.0_batchsize32_seq_len24_hidden16_lr0.001_comb017","2026-05-04T09:42:57.000Z","0","16","2","0.001","24","32","75.75113876720987","72.19765538855582","finished","-","","cross-validation, early-stopping, hyperparameter-search, rnn","278","","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","17","49","10","39","49"
"layers1_dropout0.0_batchsize64_seq_len168_hidden16_lr0.0005_comb015","2026-05-04T09:36:52.000Z","0","16","1","0.0005","168","64","108.12156237009803","108.12156237009803","finished","-","","cross-validation, early-stopping, hyperparameter-search, rnn","364","","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","15","60","0","60","60"
"layers1_dropout0.0_batchsize64_seq_len24_hidden16_lr0.0005_comb013","2026-05-04T09:31:42.000Z","0","16","1","0.0005","24","64","108.91735040065409","107.83037198285356","finished","-","","cross-validation, early-stopping, hyperparameter-search, rnn","309","","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","13","60","2","58","60"
"layers1_dropout0.0_batchsize32_seq_len168_hidden16_lr0.0005_comb011","2026-05-04T09:25:09.000Z","0","16","1","0.0005","168","32","74.45023549057365","74.45023549057365","finished","-","","cross-validation, early-stopping, hyperparameter-search, rnn","392","","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","11","60","0","60","60"
"layers1_dropout0.0_batchsize32_seq_len24_hidden16_lr0.0005_comb009","2026-05-04T09:19:30.000Z","0","16","1","0.0005","24","32","73.00993854710748","73.00993854710748","finished","-","","cross-validation, early-stopping, hyperparameter-search, rnn","338","","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","9","60","0","60","60"
"DK1_RNN_search_2y_priceincl_2024incl_lags_excl_1val_comb_007","2026-05-04T09:09:49.000Z","0","16","1","0.001","168","64","74.8696711437419","73.29270784475968","finished","-","","cross-validation, early-stopping, hyperparameter-search, rnn","367","","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","7","60","2","58","60"
"DK1_RNN_search_2y_priceincl_2024incl_lags_excl_1val_comb_005","2026-05-04T09:04:41.000Z","0","16","1","0.001","24","64","95.0490096426827","78.06386482072853","finished","-","","cross-validation, early-stopping, hyperparameter-search, rnn","307","","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","5","59","10","49","59"
"DK1_RNN_search_2y_priceincl_2024incl_lags_excl_1val_comb_003","2026-05-04T09:00:01.000Z","0","16","1","0.001","168","32","77.24400206062914","69.14725854107458","finished","-","","cross-validation, early-stopping, hyperparameter-search, rnn","279","","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","3","41","10","31","41"
"DK1_RNN_search_2y_priceincl_2024incl_lags_excl_1val_comb_001","2026-05-04T08:56:00.000Z","0","16","1","0.001","24","32","74.42408733342208","69.2762064851198","finished","-","","cross-validation, early-stopping, hyperparameter-search, rnn","241","","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","1","42","10","32","42"
