fe_latent_dim,fe_dense_layers,enc_hidden_size,enc_layers,dec_hidden_size,dec_layers,encoder_dropout,decoder_dropout,encoder_hidden_size,encoder_layers,decoder_hidden_size,decoder_layers,learning_rate,max_epochs,patience,batch_size,sequence_length,best_epoch,epochs_trained,price_zone,train_window,val_start,avg_smape,avg_weekly_rmse,avg_weekly_mae,avg_weekly_smape,avg_daily_rmse,avg_daily_mae,avg_daily_smape,avg_smape_day_1,avg_smape_day_2,avg_smape_day_3,avg_smape_day_4,avg_smape_day_5,avg_smape_day_6,avg_smape_day_7
33,1,48,2,28,2,"0,2","0,0",48,2,28,2,"0,0005",60,20,32,24,39,59,DK1,2 years,2024-01-01,"74,78873675216785","268,36130566432166","224,57517517152496","74,78873675216785","253,24839075607454","224,575175171525","74,78873675216785","56,10309396602857","43,99860154996297","55,58135023664997","69,11255307297895","80,44751216482986","99,3302479588978","118,94779831582677"
33,1,48,2,28,1,"0,0","0,0",48,2,28,1,"0,0005",60,20,32,24,47,60,DK1,2 years,2024-01-01,"74,79400981882935","253,6490432232705","215,34095780811555","74,79400981882935","239,72380510070977","215,34095780811552","74,79400981882937","56,302072202180184","49,72723006697301","55,123168462259684","76,23166548239644","85,21790643465947","98,24311719081226","102,71290889252438"
33,1,48,2,48,2,"0,2","0,2",48,2,48,2,"0,0005",60,20,64,168,57,60,DK1,2 years,2024-01-01,"74,89202512371733","251,58755804674638","212,97270021934955","74,89202512371733","239,60416836412233","212,97270021934952","74,89202512371735","58,13822870663391","53,89565847859964","57,11698042934351","72,21693236167818","76,34711666652288","93,71047238544867","112,81878683779459"
33,1,48,2,33,2,"0,2","0,0",48,2,33,2,"0,0005",60,20,32,24,50,60,DK1,2 years,2024-01-01,"74,95110953729196","261,4272703917853","219,80069244219317","74,95110953729196","246,6952992499299","219,80069244219317","74,95110953729194","52,89410357448048","54,47767013655293","58,738865642949364","72,49802527903792","84,21580297900806","97,28050816917639","104,55279097983849"
33,1,48,1,33,2,"0,0","0,2",48,1,33,2,"0,001",60,20,64,24,60,60,DK1,2 years,2024-01-01,"74,99083993549215","260,76393458425997","216,38412114686014","74,99083993549215","244,28132570974824","216,38412114686017","74,99083993549213","56,60885147486774","50,10513929216768","45,71373033462696","74,57153482755392","87,54665917184218","100,29380063794483","110,09616380944169"
33,1,48,1,48,2,"0,0","0,0",48,1,48,2,"0,0005",60,20,64,168,50,60,DK1,2 years,2024-01-01,"75,03980448922587","259,0442632404843","217,13453228957516","75,03980448922587","246,10679355407976","217,13453228957513","75,03980448922586","55,642469195608555","54,83039143028613","61,91561950969499","74,00362019889252","80,70330902247376","97,3607608139","100,82246125372508"
33,1,48,1,28,2,"0,0","0,2",48,1,28,2,"0,001",60,20,32,168,57,60,DK1,2 years,2024-01-01,"75,06901481075195","262,4062152329963","220,24239937688154","75,06901481075195","245,50786447673775","220,24239937688156","75,06901481075195","60,08565965832304","50,18389670185425","48,678407098056425","70,31485204501422","81,8751750401632","97,61397260308371","116,73114052876878"
33,1,33,2,48,2,"0,2","0,0",33,2,48,2,"0,0005",60,20,32,24,34,54,DK1,2 years,2024-01-01,"75,08328848414448","260,1769529908204","218,23065667274201","75,08328848414448","243,89153358976233","218,23065667274201","75,08328848414445","58,19053624563598","50,71967500140026","49,83982669269228","74,92952690689182","81,55214149789825","99,54110492564628","110,81020811884636"
33,1,48,1,33,2,"0,0","0,2",48,1,33,2,"0,001",60,20,32,168,37,57,DK1,2 years,2024-01-01,"75,09669539658552","258,0191474607622","218,6067347496226","75,09669539658552","240,86439599787383","218,6067347496226","75,09669539658553","51,71118732664456","44,124499325738626","58,50332134495855","78,99540864737791","90,20218668121773","98,9690176516745","103,17124679848672"
33,1,48,2,48,2,"0,0","0,0",48,2,48,2,"0,0005",60,20,64,24,48,60,DK1,2 years,2024-01-01,"75,15724706431213","264,3969137907321","218,59612036180891","75,15724706431213","249,23887033329603","218,59612036180891","75,15724706431213","55,65936623353876","49,604074764471406","60,30965179902095","73,90373659947001","83,08536452876248","101,78555084371821","101,75298468120309"
33,1,48,2,33,2,"0,2","0,0",48,2,33,2,"0,0005",60,20,64,168,59,60,DK1,2 years,2024-01-01,"75,15891970738707","274,3815988867915","226,98618566044473","75,15891970738707","257,2895579880577","226,9861856604447","75,15891970738707","57,421469018216825","54,304873737745","62,849653211924846","70,74324847271373","80,98373853148989","98,82907551127343","100,98037946834569"
