hidden_size;SEQ_LEN;learning_rate;epochs;batch_size;layers;price_zone;target_time;eval_start_anchor;eval_window_end;eval_window_hours;eval_chunk_hours;eval_chunk_stride_hours;eval_num_chunks;avg_weekly_smape;avg_mae;avg_rmse;max_avg_daily_smape_pct;min_avg_daily_smape_pct;status;error;used_chunks;first_chunk_start;last_chunk_start;smape_day_1_pct;smape_day_2_pct;smape_day_3_pct;smape_day_4_pct;smape_day_5_pct;smape_day_6_pct;smape_day_7_pct
64;168;0,0005;100;16;1;DK1;2024-01-01 00:00:00;2024-01-01 00:00:00;2025-01-01 00:00:00;8784;168;504;18;50,84948884197715;253,29869068851056;317,3561881880099;152,34234339158874;8,423555142771866;ok;;18;2024-01-01 00:00:00;2024-12-23 00:00:00;41,296246478335206;47,13302407453614;43,20069484259522;34,63974016403716;42,394791209026906;63,42196116509112;83,85996396021824
32;168;0,0001;100;16;1;DK1;2024-01-01 00:00:00;2024-01-01 00:00:00;2025-01-01 00:00:00;8784;168;504;18;50,933632293436865;263,6142350565251;328,70591706849075;158,18796196362055;7,19781363172185;ok;;18;2024-01-01 00:00:00;2024-12-23 00:00:00;39,173350041855294;47,84281706934026;43,48552601993578;36,462169995772314;43,89018581458182;63,704259334059465;81,97711777851315
64;24;0,0001;20;16;2;DK1;2024-01-01 00:00:00;2024-01-01 00:00:00;2025-01-01 00:00:00;8784;168;504;18;50,95624357608691;256,2268603395688;325,2565754273885;150,8750985000014;9,429703553346505;ok;;18;2024-01-01 00:00:00;2024-12-23 00:00:00;40,86312124156674;48,88067685530015;45,037171959495545;35,82578135234697;42,6528705421203;61,981601558933285;81,45248152284536
16;48;0,0005;20;32;1;DK1;2024-01-01 00:00:00;2024-01-01 00:00:00;2025-01-01 00:00:00;8784;168;504;18;50,997553777104685;232,24034915432492;291,66564627257503;155,74300310320817;8,516450739136031;ok;;18;2024-01-01 00:00:00;2024-12-23 00:00:00;45,88790841006441;50,53567562681058;47,75627164496132;42,70125560502606;46,76100712272538;53,60709471531435;69,73366331483061
32;48;0,0005;50;16;2;DK1;2024-01-01 00:00:00;2024-01-01 00:00:00;2025-01-01 00:00:00;8784;168;504;18;51,046480530398696;256,87262430585855;323,68721547492277;151,09946583184674;5,418169168655105;ok;;18;2024-01-01 00:00:00;2024-12-23 00:00:00;40,639341167936706;48,110502723113925;44,6318561070957;35,054822396905465;42,55667997108173;62,91283068019819;83,41933066645915
64;168;0,001;50;16;1;DK1;2024-01-01 00:00:00;2024-01-01 00:00:00;2025-01-01 00:00:00;8784;168;504;18;51,04696263233663;237,16468997283695;300,6464398089176;152,91919146190924;11,32288828608858;ok;;18;2024-01-01 00:00:00;2024-12-23 00:00:00;40,313994575477395;46,622982709247495;45,12075661333618;39,44376102238092;48,27876847997512;59,606085262835705;77,94238976310358
16;168;0,0001;20;16;2;DK1;2024-01-01 00:00:00;2024-01-01 00:00:00;2025-01-01 00:00:00;8784;168;504;18;51,07727298139724;256,42402532850303;324,70037056813123;150,95660848691492;9,547175145441614;ok;;18;2024-01-01 00:00:00;2024-12-23 00:00:00;42,958625168133786;49,859938410547926;45,14131630217753;35,55055350701896;42,250147617856456;61,19888359059296;80,5814462734531
32;24;0,0005;50;16;1;DK1;2024-01-01 00:00:00;2024-01-01 00:00:00;2025-01-01 00:00:00;8784;168;504;18;51,15642041028782;259,2168968810906;329,2996721731382;150,69645182916065;9,412387011738955;ok;;18;2024-01-01 00:00:00;2024-12-23 00:00:00;38,60872029646335;48,30255816069475;44,770806398564666;36,19402309444416;43,43825082610988;63,51240630586098;83,26817778987693
16;24;0,001;20;32;2;DK1;2024-01-01 00:00:00;2024-01-01 00:00:00;2025-01-01 00:00:00;8784;168;504;18;51,22407761083548;258,7302808584772;327,7871171907783;150,87415859287663;9,544109562552665;ok;;18;2024-01-01 00:00:00;2024-12-23 00:00:00;40,97681496451769;49,783567263432374;45,54219809716684;36,05388533909835;42,6796155748593;62,029306978490126;81,50315505828368
16;168;0,0001;20;32;2;DK1;2024-01-01 00:00:00;2024-01-01 00:00:00;2025-01-01 00:00:00;8784;168;504;18;51,32967451771643;258,7428104899957;326,86567711639805;150,88771921152352;9,545197179639322;ok;;18;2024-01-01 00:00:00;2024-12-23 00:00:00;43,17055600593801;49,55274144680974;45,31034930446844;35,849527170654426;42,52709884038535;61,731659494463706;81,16578936129528
64;168;0,0001;20;16;2;DK1;2024-01-01 00:00:00;2024-01-01 00:00:00;2025-01-01 00:00:00;8784;168;504;18;51,35417442092054;233,12808190176753;291,7698066320491;155,94529183283427;6,4165508574013375;ok;;18;2024-01-01 00:00:00;2024-12-23 00:00:00;45,21580183393386;50,97101068905547;48,44441681926831;43,81941662592379;47,57016815769044;53,86616413817819;69,59224268239375
16;48;0,0005;50;16;1;DK1;2024-01-01 00:00:00;2024-01-01 00:00:00;2025-01-01 00:00:00;8784;168;504;18;51,4599600822938;265,19546590592404;335,86781219925683;152,18981201090972;9,437899888028843;ok;;18;2024-01-01 00:00:00;2024-12-23 00:00:00;38,2413546756275;45,847444095579675;43,86563818833259;35,59093719870234;44,04433565166777;66,33654989796241;86,29346086818427
