n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,subsample_freq,colsample_bytree,reg_alpha,reg_lambda,avg_smape,avg_weekly_rmse,avg_weekly_mae,avg_weekly_smape,avg_daily_rmse,avg_daily_mae,avg_daily_smape,avg_smape_day_1,avg_smape_day_2,avg_smape_day_3,avg_smape_day_4,avg_smape_day_5,avg_smape_day_6,avg_smape_day_7
50,"0,1",15,-1,20,"0,8",1,"1,0","0,0","0,0","70,41471670318063","349,86249237401876","281,0374480376869","70,41471670318063","318,89607630874394","281,03744803768694","70,41471670318062","57,27838251255685","61,31448902805948","63,257642320508154","66,98339441821177","75,10947127960746","82,47332880893447","86,48630855438624"
500,"0,01",15,-1,50,"1,0",1,"1,0","0,0","0,0","70,51466165496971","357,27169172711217","285,76705144986454","70,51466165496971","325,2985329263989","285,7670514498646","70,51466165496971","57,86399162760496","61,81361806832306","64,59543643897717","65,03406387858399","74,51333989807816","82,86493498594437","86,9172466872763"
50,"0,01",15,-1,1,"1,0",1,"1,0","0,0","0,0","70,54908958937759","490,79904297804956","428,7950030108108","70,54908958937759","466,69325579314534","428,7950030108108","70,54908958937759","67,54572599738262","63,62505045936484","63,25224947912378","61,11177275305199","58,019045503219786","78,66679827929664","101,62298465420348"
50,"0,01",15,-1,50,"1,0",1,"1,0","0,0","0,0","70,57141107355496","490,9209550923499","429,0381230792119","70,57141107355496","466,84413462773136","429,0381230792119","70,57141107355497","67,57201114010826","63,6803937737839","63,25132790707321","61,1527258486779","58,04129912596612","78,69697578945066","101,60514392982469"
50,"0,01",15,-1,20,"1,0",1,"1,0","0,0","0,0","70,84991557728227","492,9900889838889","431,69492236349004","70,84991557728227","469,24608687714687","431,69492236349004","70,84991557728226","68,09248211722304","63,670777568354396","63,403778826490246","61,61914469843626","58,47755561458179","78,70909742571187","101,9765727901783"
50,"0,1",15,-1,50,"0,8",1,"1,0","0,0","0,0","71,08365631578077","357,3945571274467","286,18563655866114","71,08365631578077","325,5968675846799","286,1856365586612","71,08365631578077","59,26718107119749","61,88527496331275","64,41497742343822","64,80930944637012","74,79481750518086","84,70863289587072","87,70540090509525"
200,"0,1",15,-1,50,"0,8",1,"1,0","0,0","0,0","71,17936297071107","382,02943590801397","302,69106252521897","71,17936297071107","345,0341279008609","302,691062525219","71,17936297071107","57,48812962606511","59,575199464990064","67,86622979232925","66,65106965938799","75,6811402415599","84,47916577361649","86,51460623702863"
200,"0,1",15,-1,50,"1,0",1,"1,0","0,0","0,0","71,29496417238474","391,42492490200175","310,94798202242396","71,29496417238474","354,2819635759474","310,9479820224239","71,29496417238474","54,97180937357516","59,18306834258232","68,39268403991228","69,53128784342971","78,84245101831846","83,90148063089805","84,24196795797715"
500,"0,1",15,-1,50,"0,8",1,"1,0","0,0","0,0","71,60476012624184","403,905466322885","319,91462086311793","71,60476012624184","364,3976206934416","319,91462086311793","71,60476012624186","55,379579247952805","60,163653508311","70,64748273631459","68,21923731394119","78,51639783438492","84,54893111095552","83,75803913183289"
50,"0,1",15,-1,50,"1,0",1,"1,0","0,0","0,0","71,95497968752397","394,8704496818489","316,11738448634287","71,95497968752397","357,83214639924563","316,1173844863429","71,95497968752397","56,8876581796204","62,67721570113628","67,43609178524108","66,2355218320796","76,21816044092012","86,25012564347182","87,98008423019849"
